year,race,driver,team,fastest_lap,avg_lap,pitstops,track_affinity,team_strength,momentum,start_position,air_temp,humidity,rain,home_race,position
2023,Azerbaijan Grand Prix,TSU,AlphaTauri,105.727,107.495,0,0.1,0.4,0.09999999000000101,8.0,24.860625,49.225,0.0,0,10.0
2023,Azerbaijan Grand Prix,ALB,Williams,105.925,107.616976,0,0.1,0.5,0.09999999000000101,12.0,24.860625,49.225,0.0,0,12.0
2023,Azerbaijan Grand Prix,ZHO,Alfa Romeo,107.553,108.518666,0,0.1,0.4,0.09999999000000101,15.0,24.860625,49.225,0.0,0,19.0
2023,Azerbaijan Grand Prix,HUL,Haas F1 Team,106.731,107.924738,0,0.1,0.5,0.09999999000000101,20.0,24.860625,49.225,0.0,0,17.0
2023,Azerbaijan Grand Prix,OCO,Alpine,105.908,107.630302,0,0.1,0.7,0.09999999000000101,19.0,24.860625,49.225,0.0,0,15.0
2023,Azerbaijan Grand Prix,NOR,McLaren,105.738,107.412568,0,0.1,0.75,0.09999999000000101,7.0,24.860625,49.225,0.0,0,9.0
2023,Azerbaijan Grand Prix,HAM,Mercedes,105.346,106.688555,0,0.1,0.9,0.2727271983471277,5.0,24.860625,49.225,0.0,0,6.0
2023,Azerbaijan Grand Prix,SAI,Ferrari,105.175,106.722361,0,0.1,0.85,0.11111109876543349,4.0,24.860625,49.225,0.0,0,5.0
2023,Azerbaijan Grand Prix,RUS,Mercedes,103.37,106.9182,0,0.1,0.9,0.29999991000002696,11.0,24.860625,49.225,0.0,0,8.0
2023,Azerbaijan Grand Prix,BOT,Alfa Romeo,106.304,108.026,0,0.1,0.4,0.09999999000000101,13.0,24.860625,49.225,0.0,0,18.0
2023,Azerbaijan Grand Prix,PIA,McLaren,105.631,107.580116,0,0.1,0.75,0.09999999000000101,10.0,24.860625,49.225,0.0,0,11.0
2023,Miami Grand Prix,VER,Red Bull Racing,89.708,91.825345,0,0.1,0.5,0.599999640000216,9.0,27.11741935483871,59.42580645161291,0.0,0,1.0
2023,Miami Grand Prix,PER,Red Bull Racing,90.56,91.902685,0,0.1,0.5,0.09999999000000101,1.0,27.11741935483871,59.42580645161291,0.0,0,2.0
2023,Miami Grand Prix,ALO,Aston Martin,90.519,92.277129,0,0.1,0.8,0.21428566836735677,2.0,27.11741935483871,59.42580645161291,0.0,0,3.0
2023,Miami Grand Prix,RUS,Mercedes,91.015,92.342666,0,0.1,0.9,0.29999991000002696,6.0,27.11741935483871,59.42580645161291,0.0,0,4.0
2023,Miami Grand Prix,SAI,Ferrari,91.362,92.478314,0,0.1,0.85,0.11111109876543349,3.0,27.11741935483871,59.42580645161291,0.0,0,5.0
2023,Miami Grand Prix,HAM,Mercedes,90.669,92.633685,0,0.1,0.9,0.2727271983471277,13.0,27.11741935483871,59.42580645161291,0.0,0,6.0
2023,Miami Grand Prix,LEC,Ferrari,91.434,92.684314,0,0.1,0.85,0.16666663888889352,7.0,27.11741935483871,59.42580645161291,0.0,0,7.0
2023,Miami Grand Prix,GAS,Alpine,91.971,92.753555,0,0.1,0.7,0.09999999000000101,5.0,27.11741935483871,59.42580645161291,0.0,0,8.0
2023,Miami Grand Prix,OCO,Alpine,91.143,92.79524,0,0.1,0.7,0.09999999000000101,8.0,27.11741935483871,59.42580645161291,0.0,0,9.0
2023,Miami Grand Prix,MAG,Haas F1 Team,91.691,92.856203,0,0.1,0.5,0.09999999000000101,4.0,27.11741935483871,59.42580645161291,0.0,0,10.0
2023,Miami Grand Prix,TSU,AlphaTauri,91.038,92.83874,0,0.1,0.4,0.09999999000000101,17.0,27.11741935483871,59.42580645161291,0.0,0,11.0
2023,Miami Grand Prix,STR,Aston Martin,90.862,92.832981,0,0.1,0.8,0.09999999000000101,18.0,27.11741935483871,59.42580645161291,0.0,0,12.0
2023,Miami Grand Prix,BOT,Alfa Romeo,91.838,92.971444,0,0.1,0.4,0.09999999000000101,10.0,27.11741935483871,59.42580645161291,0.0,0,13.0
2023,Miami Grand Prix,ALB,Williams,91.852,92.979777,0,0.1,0.5,0.09999999000000101,11.0,27.11741935483871,59.42580645161291,0.0,0,14.0
2023,Miami Grand Prix,HUL,Haas F1 Team,90.901,92.999425,0,0.1,0.5,0.09999999000000101,12.0,27.11741935483871,59.42580645161291,0.0,0,15.0
2023,Miami Grand Prix,ZHO,Alfa Romeo,91.736,93.060518,0,0.1,0.4,0.09999999000000101,14.0,27.11741935483871,59.42580645161291,0.0,0,16.0
2023,Miami Grand Prix,NOR,McLaren,92.401,93.127796,0,0.1,0.75,0.09999999000000101,16.0,27.11741935483871,59.42580645161291,0.0,0,17.0
