year,race,driver,predicted_position,probability,final_position,abs_error
2023,Hungarian Grand Prix,TSU,15,29.88,10.0,5.0
2023,Hungarian Grand Prix,VER,1,93.72,1.0,0.0
2023,Hungarian Grand Prix,ZHO,16,29.46,13.0,3.0
2023,Italian Grand Prix,ALB,7,14.1,6.0,1.0
2023,Italian Grand Prix,ALO,9,40.59,6.0,3.0
2023,Italian Grand Prix,BOT,14,28.59,7.0,7.0
2023,Italian Grand Prix,GAS,15,32.01,15.0,0.0
2023,Italian Grand Prix,HAM,6,34.96,1.0,5.0
2023,Italian Grand Prix,HUL,17,22.14,10.0,7.0
2023,Italian Grand Prix,LAW,12,27.6,11.0,1.0
2023,Italian Grand Prix,LEC,4,34.53,2.0,2.0
2023,Italian Grand Prix,MAG,18,18.25,17.0,1.0
2023,Italian Grand Prix,NOR,8,31.21,3.0,5.0
2023,Italian Grand Prix,OCO,15,42.22,10.0,5.0
2023,Italian Grand Prix,PER,2,14.76,1.0,1.0
2023,Italian Grand Prix,PIA,11,29.35,1.0,10.0
2023,Italian Grand Prix,RUS,4,34.81,4.0,0.0
2023,Italian Grand Prix,SAI,3,40.51,1.0,2.0
2023,Italian Grand Prix,SAR,14,14.31,10.0,4.0
2023,Italian Grand Prix,STR,16,28.13,12.0,4.0
2023,Italian Grand Prix,VER,1,89.7,1.0,0.0
2023,Italian Grand Prix,ZHO,14,29.65,12.0,2.0
2023,Japanese Grand Prix,ALB,16,50.22,11.0,5.0
2023,Japanese Grand Prix,ALO,8,35.59,6.0,2.0
2023,Japanese Grand Prix,GAS,9,38.69,7.0,2.0
2023,Japanese Grand Prix,HAM,4,27.03,5.0,1.0
2023,Japanese Grand Prix,HUL,14,42.47,10.0,4.0
2023,Japanese Grand Prix,LAW,11,22.61,9.0,2.0
2023,Japanese Grand Prix,LEC,4,44.0,3.0,1.0
2023,Japanese Grand Prix,MAG,15,33.85,12.0,3.0
2023,Japanese Grand Prix,NOR,2,21.93,1.0,1.0
2023,Japanese Grand Prix,OCO,9,37.85,6.0,3.0
2023,Japanese Grand Prix,PER,14,57.17,7.0,7.0
2023,Japanese Grand Prix,PIA,3,27.42,2.0,1.0
2023,Japanese Grand Prix,RUS,4,26.55,2.0,2.0
2023,Japanese Grand Prix,SAI,4,40.13,1.0,3.0
2023,Japanese Grand Prix,SAR,18,47.8,16.0,2.0
2023,Japanese Grand Prix,STR,12,50.84,8.0,4.0
2023,Japanese Grand Prix,TSU,12,25.11,10.0,2.0
2023,Japanese Grand Prix,VER,1,93.16,1.0,0.0
2023,Japanese Grand Prix,ZHO,13,23.3,11.0,2.0
2023,Las Vegas Grand Prix,ALB,12,29.14,5.0,7.0
2023,Las Vegas Grand Prix,ALO,9,48.41,5.0,4.0
2023,Las Vegas Grand Prix,BOT,15,38.27,12.0,3.0
2023,Las Vegas Grand Prix,GAS,11,27.34,3.0,8.0
2023,Las Vegas Grand Prix,HAM,8,38.42,5.0,3.0
2023,Las Vegas Grand Prix,HUL,15,38.51,9.0,6.0
2023,Las Vegas Grand Prix,LEC,2,33.67,1.0,1.0
2023,Las Vegas Grand Prix,MAG,13,22.16,7.0,6.0
2023,Las Vegas Grand Prix,OCO,5,21.72,2.0,3.0
