year,race,driver,position,probability
2025,Spanish Grand Prix,LAW,6,0.83
2025,Spanish Grand Prix,LAW,7,3.29
2025,Spanish Grand Prix,LAW,8,4.78
2025,Spanish Grand Prix,LAW,9,5.48
2025,Spanish Grand Prix,LAW,10,6.33
2025,Spanish Grand Prix,LAW,11,15.43
2025,Spanish Grand Prix,LAW,12,6.52
2025,Spanish Grand Prix,LAW,13,6.84
2025,Spanish Grand Prix,LAW,14,9.69
2025,Spanish Grand Prix,LAW,15,5.48
2025,Spanish Grand Prix,LAW,16,9.69
2025,Spanish Grand Prix,LAW,17,9.68
2025,Spanish Grand Prix,LAW,18,3.97
2025,Spanish Grand Prix,LAW,19,5.37
2025,Spanish Grand Prix,LAW,20,3.04
2025,Spanish Grand Prix,OCO,1,0.03
2025,Spanish Grand Prix,OCO,2,0.18
2025,Spanish Grand Prix,OCO,3,0.23
2025,Spanish Grand Prix,OCO,4,0.57
2025,Spanish Grand Prix,OCO,5,2.9
2025,Spanish Grand Prix,OCO,6,0.66
2025,Spanish Grand Prix,OCO,7,2.09
2025,Spanish Grand Prix,OCO,8,1.87
2025,Spanish Grand Prix,OCO,9,2.86
2025,Spanish Grand Prix,OCO,10,3.48
2025,Spanish Grand Prix,OCO,11,5.23
2025,Spanish Grand Prix,OCO,12,5.79
2025,Spanish Grand Prix,OCO,13,6.73
2025,Spanish Grand Prix,OCO,14,9.17
2025,Spanish Grand Prix,OCO,15,8.94
2025,Spanish Grand Prix,OCO,16,18.46
2025,Spanish Grand Prix,OCO,17,11.28
2025,Spanish Grand Prix,OCO,18,7.53
2025,Spanish Grand Prix,OCO,19,7.05
2025,Spanish Grand Prix,OCO,20,4.96
2025,Spanish Grand Prix,NOR,1,6.09
2025,Spanish Grand Prix,NOR,2,63.65
2025,Spanish Grand Prix,NOR,3,5.06
2025,Spanish Grand Prix,NOR,4,5.35
2025,Spanish Grand Prix,NOR,5,2.83
2025,Spanish Grand Prix,NOR,6,0.72
2025,Spanish Grand Prix,NOR,7,1.67
2025,Spanish Grand Prix,NOR,8,0.54
2025,Spanish Grand Prix,NOR,9,0.31
2025,Spanish Grand Prix,NOR,10,5.68
2025,Spanish Grand Prix,NOR,11,0.28
2025,Spanish Grand Prix,NOR,12,0.22
