year,race,driver,position,probability
2025,Spanish Grand Prix,LAW,20,0.99
2025,Spanish Grand Prix,OCO,1,0.99
2025,Spanish Grand Prix,OCO,2,4.23
2025,Spanish Grand Prix,OCO,3,1.0
2025,Spanish Grand Prix,OCO,4,1.72
2025,Spanish Grand Prix,OCO,5,0.54
2025,Spanish Grand Prix,OCO,6,5.15
2025,Spanish Grand Prix,OCO,7,6.7
2025,Spanish Grand Prix,OCO,8,4.03
2025,Spanish Grand Prix,OCO,9,7.42
2025,Spanish Grand Prix,OCO,10,2.76
2025,Spanish Grand Prix,OCO,11,2.63
2025,Spanish Grand Prix,OCO,12,6.03
2025,Spanish Grand Prix,OCO,13,3.26
2025,Spanish Grand Prix,OCO,14,10.61
2025,Spanish Grand Prix,OCO,15,5.14
2025,Spanish Grand Prix,OCO,16,21.36
2025,Spanish Grand Prix,OCO,17,4.2
2025,Spanish Grand Prix,OCO,18,4.55
2025,Spanish Grand Prix,OCO,19,6.63
2025,Spanish Grand Prix,OCO,20,1.04
2025,Spanish Grand Prix,NOR,1,0.42
2025,Spanish Grand Prix,NOR,2,2.67
2025,Spanish Grand Prix,NOR,3,8.4
2025,Spanish Grand Prix,NOR,4,2.62
2025,Spanish Grand Prix,NOR,5,4.45
2025,Spanish Grand Prix,NOR,6,2.78
2025,Spanish Grand Prix,NOR,7,0.63
2025,Spanish Grand Prix,NOR,8,4.14
2025,Spanish Grand Prix,NOR,9,7.72
2025,Spanish Grand Prix,NOR,10,16.3
2025,Spanish Grand Prix,NOR,11,6.09
2025,Spanish Grand Prix,NOR,12,5.51
2025,Spanish Grand Prix,NOR,13,5.6
2025,Spanish Grand Prix,NOR,14,4.83
2025,Spanish Grand Prix,NOR,15,0.77
2025,Spanish Grand Prix,NOR,16,0.51
2025,Spanish Grand Prix,NOR,17,14.1
2025,Spanish Grand Prix,NOR,18,12.15
2025,Spanish Grand Prix,NOR,19,0.31
2025,Spanish Grand Prix,NOR,20,0.0
2025,Spanish Grand Prix,COL,1,0.1
2025,Spanish Grand Prix,COL,2,1.65
2025,Spanish Grand Prix,COL,3,0.8
2025,Spanish Grand Prix,COL,4,2.85
2025,Spanish Grand Prix,COL,5,15.05
2025,Spanish Grand Prix,COL,6,4.46
2025,Spanish Grand Prix,COL,7,2.48
2025,Spanish Grand Prix,COL,8,16.22
2025,Spanish Grand Prix,COL,9,4.8
2025,Spanish Grand Prix,COL,10,19.39
2025,Spanish Grand Prix,COL,11,9.68
2025,Spanish Grand Prix,COL,12,2.96
2025,Spanish Grand Prix,COL,13,5.01
2025,Spanish Grand Prix,COL,14,4.93
2025,Spanish Grand Prix,COL,15,2.05
2025,Spanish Grand Prix,COL,16,2.36
2025,Spanish Grand Prix,COL,17,2.36
2025,Spanish Grand Prix,COL,18,0.72
2025,Spanish Grand Prix,COL,19,2.05
2025,Spanish Grand Prix,COL,20,0.05
2025,Spanish Grand Prix,HAM,1,0.42
2025,Spanish Grand Prix,HAM,2,14.64
2025,Spanish Grand Prix,HAM,3,16.82
2025,Spanish Grand Prix,HAM,4,14.62
2025,Spanish Grand Prix,HAM,5,14.32
2025,Spanish Grand Prix,HAM,6,4.23
2025,Spanish Grand Prix,HAM,7,1.67
2025,Spanish Grand Prix,HAM,8,2.84
2025,Spanish Grand Prix,HAM,9,1.9
2025,Spanish Grand Prix,HAM,10,3.38
2025,Spanish Grand Prix,HAM,11,0.25
2025,Spanish Grand Prix,HAM,12,17.78
2025,Spanish Grand Prix,HAM,13,0.21
2025,Spanish Grand Prix,HAM,14,0.12
2025,Spanish Grand Prix,HAM,15,0.36
2025,Spanish Grand Prix,HAM,16,0.12
2025,Spanish Grand Prix,HAM,17,4.48
2025,Spanish Grand Prix,HAM,18,1.82
2025,Spanish Grand Prix,HAM,19,0.0
2025,Spanish Grand Prix,HAM,20,0.0
2025,Spanish Grand Prix,BOR,1,0.97
2025,Spanish Grand Prix,BOR,2,3.96
2025,Spanish Grand Prix,BOR,3,1.32
2025,Spanish Grand Prix,BOR,4,2.92
2025,Spanish Grand Prix,BOR,5,0.48
2025,Spanish Grand Prix,BOR,6,4.28
2025,Spanish Grand Prix,BOR,7,5.67
2025,Spanish Grand Prix,BOR,8,2.96
2025,Spanish Grand Prix,BOR,9,7.44
2025,Spanish Grand Prix,BOR,10,3.7
2025,Spanish Grand Prix,BOR,11,2.95
2025,Spanish Grand Prix,BOR,12,5.91
2025,Spanish Grand Prix,BOR,13,2.88
2025,Spanish Grand Prix,BOR,14,9.04
2025,Spanish Grand Prix,BOR,15,5.39
2025,Spanish Grand Prix,BOR,16,19.79
2025,Spanish Grand Prix,BOR,17,4.8
2025,Spanish Grand Prix,BOR,18,4.82
