year,race,driver,fastest_lap,avg_lap,stints,pitstops,laps_completed,track_affinity,team_strength,momentum,final_position
2023,Miami Grand Prix,LEC,91.434,92.684314,2,0,57.0,0.1,0.85,0.16666663888889352,7
2023,Miami Grand Prix,GAS,91.971,92.753555,2,0,57.0,0.1,0.7,0.09999999000000101,8
2023,Miami Grand Prix,OCO,91.143,92.79524,2,0,57.0,0.1,0.7,0.09999999000000101,9
2023,Miami Grand Prix,MAG,91.691,92.856203,2,0,57.0,0.1,0.5,0.09999999000000101,10
2023,Miami Grand Prix,TSU,91.038,92.83874,2,0,57.0,0.1,0.4,0.09999999000000101,11
2023,Miami Grand Prix,STR,90.862,92.832981,2,0,57.0,0.1,0.8,0.09999999000000101,12
2023,Miami Grand Prix,BOT,91.838,92.971444,2,0,57.0,0.1,0.4,0.09999999000000101,13
2023,Miami Grand Prix,ALB,91.852,92.979777,2,0,57.0,0.1,0.5,0.09999999000000101,14
2023,Miami Grand Prix,HUL,90.901,92.999425,2,0,57.0,0.1,0.5,0.09999999000000101,15
2023,Miami Grand Prix,ZHO,91.736,93.060518,2,0,57.0,0.1,0.4,0.09999999000000101,16
2023,Miami Grand Prix,NOR,92.401,93.127796,2,0,57.0,0.1,0.75,0.09999999000000101,17
2023,Miami Grand Prix,DEV,91.562,93.149481,2,0,57.0,0.1,0.4,0.09999999000000101,18
2023,Miami Grand Prix,PIA,92.006,93.672519,2,0,56.0,0.1,0.75,0.09999999000000101,19
2023,Miami Grand Prix,SAR,92.384,93.378679,1,0,56.0,0.1,0.5,0.09999999000000101,20
2023,Monaco Grand Prix,VER,76.604,77.40702,1,0,51.0,0.1,0.5,0.599999640000216,1
2023,Monaco Grand Prix,GAS,75.831,77.986734,2,1,51.0,0.1,0.7,0.09999999000000101,8
2023,Monaco Grand Prix,PER,76.269,78.369644,2,2,49.0,0.1,0.5,0.09999999000000101,19
2023,Monaco Grand Prix,ALO,76.674,77.61012,1,0,51.0,0.1,0.8,0.21428566836735677,2
2023,Monaco Grand Prix,LEC,75.773,77.924571,2,1,51.0,0.1,0.85,0.16666663888889352,7
2023,Monaco Grand Prix,STR,77.769,79.237021,1,0,50.0,0.1,0.8,0.09999999000000101,15
2023,Monaco Grand Prix,SAR,77.302,78.988717,3,1,48.0,0.1,0.5,0.09999999000000101,20
2023,Monaco Grand Prix,MAG,78.351,79.332041,1,0,50.0,0.1,0.5,0.09999999000000101,14
2023,Monaco Grand Prix,DEV,77.561,79.152937,1,0,50.0,0.1,0.4,0.09999999000000101,12
2023,Monaco Grand Prix,TSU,77.68,78.616937,1,0,50.0,0.1,0.4,0.09999999000000101,9
2023,Monaco Grand Prix,ALB,76.672,79.013533,2,0,50.0,0.1,0.5,0.09999999000000101,18
2023,Monaco Grand Prix,ZHO,76.926,78.843088,1,1,49.0,0.1,0.4,0.09999999000000101,17
2023,Monaco Grand Prix,HUL,76.991,78.700953,1,1,50.0,0.1,0.5,0.09999999000000101,16
