year,race,driver,position,probability
2023,Monaco,ALB,19,4.15
2023,Monaco,ALB,20,1.64
2023,Monaco,ZHO,1,0.06
2023,Monaco,ZHO,2,0.19
2023,Monaco,ZHO,3,0.05
2023,Monaco,ZHO,4,0.41
2023,Monaco,ZHO,5,0.39
2023,Monaco,ZHO,6,0.21
2023,Monaco,ZHO,7,0.21
2023,Monaco,ZHO,8,0.42
2023,Monaco,ZHO,9,8.16
2023,Monaco,ZHO,10,1.77
2023,Monaco,ZHO,11,3.56
2023,Monaco,ZHO,12,9.22
2023,Monaco,ZHO,13,0.78
2023,Monaco,ZHO,14,4.62
2023,Monaco,ZHO,15,1.51
2023,Monaco,ZHO,16,13.49
2023,Monaco,ZHO,17,51.36
2023,Monaco,ZHO,18,1.61
2023,Monaco,ZHO,19,1.64
2023,Monaco,ZHO,20,0.34
2023,Monaco,HUL,1,0.9
2023,Monaco,HUL,2,0.78
2023,Monaco,HUL,3,0.16
2023,Monaco,HUL,4,0.74
2023,Monaco,HUL,5,0.5
2023,Monaco,HUL,6,0.79
2023,Monaco,HUL,7,0.88
2023,Monaco,HUL,8,1.16
2023,Monaco,HUL,9,3.53
2023,Monaco,HUL,10,2.08
2023,Monaco,HUL,11,1.25
2023,Monaco,HUL,12,3.3
2023,Monaco,HUL,13,0.61
2023,Monaco,HUL,14,6.6
2023,Monaco,HUL,15,4.0
2023,Monaco,HUL,16,48.05
2023,Monaco,HUL,17,13.56
2023,Monaco,HUL,18,3.82
2023,Monaco,HUL,19,3.3
2023,Monaco,HUL,20,4.0
2023,Monaco,OCO,1,0.39
2023,Monaco,OCO,2,1.49
2023,Monaco,OCO,3,0.37
2023,Monaco,OCO,4,48.65
2023,Monaco,OCO,5,8.2
2023,Monaco,OCO,6,1.23
2023,Monaco,OCO,7,0.79
2023,Monaco,OCO,8,18.81
2023,Monaco,OCO,9,1.66
2023,Monaco,OCO,10,5.56
2023,Monaco,OCO,11,2.86
2023,Monaco,OCO,12,1.44
2023,Monaco,OCO,13,0.97
2023,Monaco,OCO,14,1.18
2023,Monaco,OCO,15,1.27
2023,Monaco,OCO,16,1.67
2023,Monaco,OCO,17,1.42
2023,Monaco,OCO,18,0.45
2023,Monaco,OCO,19,1.53
2023,Monaco,OCO,20,0.05
2023,Monaco,NOR,1,0.02
2023,Monaco,NOR,2,0.62
2023,Monaco,NOR,3,0.84
2023,Monaco,NOR,4,0.79
2023,Monaco,NOR,5,2.39
2023,Monaco,NOR,6,1.72
2023,Monaco,NOR,7,0.53
2023,Monaco,NOR,8,3.47
2023,Monaco,NOR,9,2.9
2023,Monaco,NOR,10,63.64
2023,Monaco,NOR,11,3.8
2023,Monaco,NOR,12,1.59
2023,Monaco,NOR,13,1.05
2023,Monaco,NOR,14,1.41
2023,Monaco,NOR,15,9.13
2023,Monaco,NOR,16,1.77
2023,Monaco,NOR,17,2.54
2023,Monaco,NOR,18,0.99
2023,Monaco,NOR,19,0.39
2023,Monaco,NOR,20,0.39
2023,Monaco,HAM,1,0.67
2023,Monaco,HAM,2,12.55
2023,Monaco,HAM,3,13.73
2023,Monaco,HAM,4,6.91
